ACCOUNTNO,PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,MLS_TOTAL_SQFT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,TRUE_VAL
494140024,RSP,10,119,111,104,1018,Average,Average,5,0.1,Ranch 1 Story,1,Frame Stucco,1084,3,3,1084,1084,0,1,420,0,189048,197196,189048,197196,RSP,2168,1,0,1,1,1,1,19,195700
494140039,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1490,3,2.5,1490,1267,223,1,462,0,231994,241931,231994,241931,RSP,2980,1,0,1,0,0.8503355704697987,0,19,213500
494140041,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1490,3,3,1490,1416,74,1,462,0,238799,249020,238799,249020,RSP,2980,1,0,1,0,0.9503355704697987,0,19,303000
494140042,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1058,2,2.75,1058,1058,0,1,400,0,185067,193049,185067,193049,RSP,2254,1,0,1,1,1,0,19,237000
494140045,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1128,2,3,1128,1038,90,1,400,0,191084,199317,191084,199317,RSP,2256,1,0,1,0,0.9202127659574468,0,19,218000
494140053,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1078,3,3,1078,970,108,1,460,0,186508,194550,186508,194550,RSP,2156,1,0,1,0,0.8998144712430427,0,19,229000
494140054,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1079,3,3,1079,1079,0,1,460,0,188352,196471,188352,196471,RSP,2255,1,0,1,1,1,0,19,233000
494140055,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1044,2,3,1044,1044,0,1,460,0,185872,193887,185872,193887,RSP,2088,1,0,1,1,1,0,19,203000
494140063,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1128,2,3,1128,1128,0,1,400,0,193350,201677,193350,201677,RSP,2256,1,0,1,1,1,0,19,242000
494140073,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1084,2,3,1084,1084,0,1,420,0,189069,197218,189069,197218,RSP,2168,1,0,1,1,1,0,19,276000
494140074,RSP,10,119,111,104,1018,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1084,2,3,1084,1084,0,1,420,0,188651,196782,188651,196782,RSP,2168,1,0,1,1,1,0,19,232800
494140078,RSP,10,119,111,104,1018,Average,Average,5,0,2 Story,2,Frame Stucco,1467,3,3.5,717,717,0,1,400,0,196589,205051,196589,205051,RSP,2184,1,0,1,1,1,0,19,206000
494190505,RS,10,111,111,113,1027,Above Average,Average,4,0,Ranch 1 Story,1.5,Frame Masonry Veneer,3415,4,4.5,0,0,0,1,1148,1890,587901,615448,587901,615448,RS,3556,1,1,0,0,0,0,17,465000
494200601,RS,10,111,111,108,1028,Average,Average,4,0,Split Level,2,Frame Stucco,1595,3,3.5,854,854,0,1,441,0,216830,223536,216830,223536,RS,2449,1,0,1,1,1,0,17,246300
494200610,RS,10,111,111,108,1028,Average,Average,5,0,Split Level,2,Frame Stucco,1098,3,3.25,922,922,0,1,484,0,181082,188627,181082,188627,RS,2020,1,0,1,1,1,0,18,259300
494200611,RS,10,111,111,108,1028,Average,Average,4,0,Ranch 1 Story,1,Frame Stucco,1828,3,3,1828,1828,0,2,440,0,283307,292069,283307,292069,RS,3656,1,0,1,1,1,0,17,314200
494200613,RS,10,111,111,108,1028,Average,Average,4,0,Ranch 1 Story,1.5,Frame Stucco,2003,5,3,1158,0,1158,1,498,0,237559,245154,237559,245154,RS,3161,1,0,1,0,0,0,17,291200
494200615,RS,10,111,111,108,1028,Average,Average,4,0,Ranch 1 Story,1,Frame Stucco,1266,3,3,1266,1139,127,1,506,0,210642,217404,210642,217404,RS,2532,1,0,1,0,0.8996840442338072,0,17,278800
494200620,RS,10,111,111,108,1028,Average,Average,4,0,Ranch 1 Story,1,Frame Stucco,1392,3,3,1342,1342,0,1,574,0,232831,240279,232831,240279,RS,2784,1,0,1,1,1,0,17,301050
494200623,RS,10,111,111,108,1028,Average,Average,4,0,2 Story,2,Frame Stucco,1854,3,3.5,724,688,36,1,441,0,226157,233399,226157,233399,RS,2578,1,0,1,0,0.9502762430939227,0,17,253500
494200626,RS,10,111,111,108,1028,Average,Average,4,0,2 Story,2,Frame Stucco,1854,4,2.5,864,130,734,1,400,0,206491,213125,206491,213125,RS,2718,1,0,1,0,0.15046296296296297,0,17,257100
494200632,RS,10,111,111,108,1028,Average,Above Average,4,0.3,2 Story,2,Frame Stucco,2078,4,3.5,892,560,332,1,420,0,241581,248285,241581,248285,RS,2970,1,0,1,0,0.6278026905829597,1,17,243100
494210707,RS,10,111,111,108,1028,Average,Average,5,0,Ranch 1 Story,1,Frame Stucco,1768,3,3,1732,1732,0,1,462,0,279618,291540,279618,291540,RS,3500,1,0,1,1,1,0,19,319006
494210709,RS,10,111,111,108,1028,Average,Above Average,5,0.7,Ranch 1 Story,1,Frame Stucco,1790,3,4,1790,1790,0,2,484,0,289000,298554,289000,298554,RS,3580,1,0,1,1,1,1,18,317900
494210712,RS,10,111,111,108,1028,Average,Average,5,0,Split Level,2,Frame Stucco,1376,3,2.75,432,432,0,1,440,0,182703,190586,182703,190586,RS,2100,1,0,1,1,1,0,19,223100
494210716,RS,10,111,111,108,1028,Average,Above Average,5,0.6,Split Level,2,Frame Stucco,1472,3,2,468,117,351,1,440,0,174460,180450,174460,180450,RS,1960,1,0,1,0,0.25,1,19,237300
