ACCOUNTNO,PRED_IMP,LAND_VAL,SOLD_PRICE,TOT_VAL,PRED_TOT
060060004,200077.37738363387,67700,282000,276500,267777.37738363387
060140005,172287.46800525495,87300,210000,194600,259587.46800525495
060220004,180336.40773706886,68900,253500,213300,249236.40773706886
060260005,210684.07211662398,78900,313000,285900,289584.072116624
060350007,180700.1524303221,67700,239000,239900,248400.1524303221
060350026,190950.47630170177,67100,270000,253400,258050.47630170177
060490006,255120.43764869837,79600,365000,343100,334720.43764869834
060490006,255120.43764869837,79600,255000,343100,334720.43764869834
060490006,255120.43764869837,79600,365000,343100,334720.43764869834
060490006,255120.43764869837,79600,255000,343100,334720.43764869834
060490008,163767.15315106307,68900,235000,205900,232667.15315106307
060640006,226182.4836777121,90600,349000,312200,316782.4836777121
060640007,252503.6550007575,82900,350000,332700,335403.65500075754
060640010,170938.96994638114,84600,242000,237900,255538.96994638114
070020005,200201.72390295984,74400,268000,240200,274601.72390295984
070020007,325405.48531997594,76700,413000,390500,402105.48531997594
070020010,190614.24689928998,74700,241000,259300,265314.24689929
070050016,235305.5598908823,94200,339900,326000,329505.5598908823
070080016,187248.30531399144,73100,261000,226300,260348.30531399144
070150024,200068.65577230556,63800,279900,260500,263868.65577230556
070220009,176741.9804428084,68200,259900,224300,244941.9804428084
070230013,155912.81258935694,65900,171500,184700,221812.81258935694
070360010,181125.16253629702,72400,225000,218100,253525.16253629702
070400014,169718.14688601153,71700,218000,202100,241418.14688601153
070570007,158662.1193147579,64900,185000,190700,223562.1193147579
070570008,201150.0445892415,68600,290000,280800,269750.0445892415
070580004,167812.29226208435,70200,219900,206700,238012.29226208435
070580013,240641.6480747044,76700,399722,280400,317341.6480747044
070640016,164921.59910764077,70200,240000,195100,235121.59910764077
070700020,176884.7645659585,76700,235000,224700,253584.7645659585
070710014,183461.8863656623,72400,260000,268600,255861.8863656623
070990017,194005.69301864135,65900,260000,251900,259905.69301864135
071010006,200848.64525548017,70200,285000,282000,271048.6452554802
071030017,227506.06022018363,64000,314000,304200,291506.06022018363
071070001,174666.8574009706,65900,249000,208000,240566.8574009706
071130010,176796.63988176896,70700,240000,226800,247496.63988176896
071210006,256790.80788416715,76700,309000,291000,333490.8078841672
071210015,207689.38849397853,83900,275000,267400,291589.38849397853
071220020,178689.27321015898,61500,220000,206600,240189.27321015898
071230005,203001.07085310973,63800,262900,255300,266801.0708531097
071300011,189098.19915678003,64900,239000,243800,253998.19915678003
071370003,194408.4795902456,63800,215000,235200,258208.4795902456
071420015,159411.38053792773,72000,257200,147000,231411.38053792773
080010011,195923.21801513337,81800,257000,255100,277723.2180151334
080020007,167169.69671779973,89400,252500,227300,256569.69671779973
080050021,194700.01941587657,64900,295000,222500,259600.01941587657
080050029,158247.55825642278,61500,235000,186600,219747.55825642278
080170010,175397.06460871414,87900,245000,201500,263297.06460871414
080170015,204522.43164170533,86800,268000,294000,291322.43164170533
080180017,161928.10917045342,75000,251000,183200,236928.10917045342
080200002,167827.18246317442,78600,190000,208200,246427.18246317442
080200002,167827.18246317442,78600,218000,208200,246427.18246317442
080200002,167066.02194540223,78600,190000,208200,245666.02194540223
080200002,167066.02194540223,78600,218000,208200,245666.02194540223
080310004,176649.4160189439,63100,245000,218900,239749.4160189439
080350010,185250.7867019895,58900,240000,225900,244150.7867019895
080410010,180611.5079640717,69400,217000,201900,250011.5079640717
080420001,192710.96727882972,73700,263500,249700,266410.9672788297
080440003,160375.9093687434,82300,207800,201300,242675.9093687434
080520004,159204.98927078315,83100,207000,194000,242304.98927078315
080620022,196630.1092385599,82300,276000,249900,278930.1092385599
080630014,208901.28204271782,75400,320000,250600,284301.2820427178
080710005,205395.49452613067,70200,286000,285300,275595.4945261307
080800013,239581.91720063033,83100,363000,303900,322681.9172006303
080920016,195115.9734660547,81300,254000,237500,276415.9734660547
081050008,205889.7555130667,85600,245000,258000,291489.75551306666
081050009,199446.74117976928,85600,244000,267900,285046.7411797693
081100015,178816.60684488362,71700,230000,208700,250516.60684488362
081130012,157015.6773285411,73700,125000,171600,230715.6773285411
081180005,184829.2176817122,79600,216000,215700,264429.21768171224
081210012,195827.64328148318,71400,240000,235400,267227.6432814832
081240007,217914.9039600956,80400,340000,284700,298314.9039600956
081260011,206400.18497128825,93200,325000,290000,299600.18497128825
081430005,206794.00151359357,85600,295000,280600,292394.0015135936
081540012,216888.2978925336,84000,287000,272800,300888.2978925336
081570018,191900.26503462976,78900,242000,244300,270800.26503462973
