ACCOUNTNO,PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,MLS_TOTAL_SQFT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,IMPROVED
020230028,RS,60,111,111,201,2017,Below Average,Average,44,0,2 Story,1,Frame Masonry Veneer,1441,3,1,0,0,0,1,0,288,43490,141368,43490,141368,RS,1441,No,Yes,No,No,0,No,114,480.3333333333333,106900
020230036,RS,60,111,111,201,2017,Average,Average,11,0,Split Level,1,Frame Vinyl,1168,3,2,575,575,0,1,300,0,147203,163559,147203,163559,RS,1800,Yes,No,Yes,Yes,1,No,30,600,191500
020240005,RS,60,111,111,201,2017,Average,Above Average,40,0.7,Ranch 1 Story,1,Frame Vinyl,1694,3,1.75,0,0,0,1,0,460,95984,183083,95984,183083,RS,1694,No,Yes,No,No,0,Yes,126,564.6666666666666,193363
020240044,RS,60,111,111,201,2017,Average,Above Average,31,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1200,2,2,270,0,270,1,0,0,111638,160399,111638,160399,RS,1515,No,No,Yes,No,0,Yes,102,757.5,117956
020280025,RS,60,111,111,201,2017,Average,Average,12,0,Split Level,1,Frame Vinyl,1307,3,2.25,1100,1100,0,1,504,0,181874,204959,181874,204959,RS,2407,Yes,No,Yes,Yes,1,No,33,802.3333333333334,201300
020280036,RS,60,111,111,201,2017,Average,Above Average,38,0.7,Ranch 1 Story,1,Frame Vinyl,972,2,1,0,0,0,1,0,576,82348,132828,82348,132828,RS,972,No,Yes,No,No,0,Yes,122,486,111700
020330016,RS,60,111,111,201,2017,Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,1667,3,1,696,0,696,1,0,432,71040,194678,71040,194678,RS,2363,No,Yes,Yes,No,0,No,95,787.6666666666666,126000
020330028,RS,60,111,111,201,2017,Average,Average,19,0.2,Bi Level 1 Story,1,Frame Vinyl,1016,2,2,950,855,95,1,0,0,128286,161408,128286,161408,RS,1966,No,No,Yes,No,0.9,Yes,46,983,193700
020340014,RS,60,111,111,201,2017,Average,Above Average,25,0,Ranch 1 Story,1,Frame Vinyl,912,3,2,912,866,46,2,0,300,120490,168706,120490,168706,RS,1778,No,Yes,Yes,No,0.9495614035087719,No,81,592.6666666666666,126400
020340014,RS,60,111,111,201,2017,Average,Above Average,25,0,Ranch 1 Story,1,Frame Vinyl,912,3,2,912,866,46,2,0,300,120490,168706,120490,168706,RS,1824,No,Yes,Yes,No,0.9495614035087719,No,81,608,151400
020340017,RS,60,111,111,201,2017,Average,Average,27,0,Ranch 1 Story,1,Frame Masonry Veneer,882,2,1,220,0,220,1,0,0,83792,121438,83792,121438,RS,1103,No,No,Yes,No,0,No,63,551.5,121800
020340033,RS,60,111,111,201,2017,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,440,1,1,0,0,0,1,0,0,14284,46079,16291,56115,RS,440,No,No,No,No,0,No,112,440,11360
020350010,RS,60,111,111,201,2017,Average,Above Average,32,0.6,Ranch 1 Story,1,Frame Vinyl,1176,2,1.75,1176,1000,176,2,476,700,156836,231422,156836,231422,RS,2352,Yes,Yes,Yes,No,0.8503401360544217,Yes,73,1176,162244
020350011,RS,60,111,111,201,2017,Average,Above Average,41,0.65,Ranch 1 Story,1.5,Frame Vinyl,2070,4,1.75,0,0,0,1,0,396,108485,208914,108485,208914,RS,2219,No,Yes,No,No,0,Yes,116,554.75,148600
020360002,RS,60,111,111,201,2017,Average,Above Average,29,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1352,4,1.75,338,0,338,2,0,0,125747,172730,125747,172730,RS,1711,No,No,Yes,No,0,Yes,97,427.75,145590
