PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,ACCOUNTNO,MLS_TOTAL_SQFT,IMPROVED
RS,10,111,111,115,1040,Average,Above Average,21,0.8,Bi Level 1 Story,1,Frame Vinyl,864,3,2,864,864,0,1,0,0,127237,150398,127237,150398,RS,No,No,Yes,Yes,1,Yes,51,576,010670046,1728,174500
RS,10,111,111,115,1040,Average,Above Average,23,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1404,2,2,1404,1334,70,2,364,0,203240,251535,203240,251535,RS,Yes,No,Yes,No,0.9501424501424501,Yes,55,1404,010670057,2808,265900
RS,10,111,111,115,1040,Average,Above Average,28,0.8,Ranch 1 Story,1,Frame Vinyl,912,2,1,0,0,0,1,0,0,79668,104455,79668,104455,RS,No,No,No,No,0,Yes,65,528.5,010670062,1057,142400
RS,10,111,111,115,1040,Average,Average,14,0.05,Ranch 1 Story,1,Frame Masonry Veneer,1650,3,1.75,0,0,0,1,360,0,166254,191097,166254,191097,RS,Yes,No,No,No,0,Yes,36,550,010670107,1650,175450
RS,10,111,111,115,1040,Average,Above Average,13,0.75,Split Level,1,Frame Vinyl,1639,6,1.75,975,975,0,1,600,0,207243,230255,207243,230255,RS,Yes,No,Yes,Yes,1,Yes,51,435.6666666666667,010680026,2614,233000
RS,10,111,111,115,1040,Average,Average,44,0.05,1½ Story Fin,1,Frame Vinyl,1788,3,1,0,0,0,1,0,576,69392,173978,87772,192926,RS,No,Yes,No,No,0,Yes,99,596,010680072,1788,138400
RS,10,111,111,115,1040,Below Average,Above Average,28,0.6,Ranch 1 Story,1,Frame Vinyl,815,2,1,287,258,29,1,0,336,80273,109590,80273,109590,RS,No,Yes,Yes,No,0.8989547038327527,Yes,74,576,010690047,1152,122800
RS,10,111,111,115,1040,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,960,2,1,0,0,0,1,0,336,35849,100875,35849,100875,RS,No,Yes,No,No,0,No,103,480,010710003,960,208900
RS,10,111,111,115,1040,Below Average,Average,44,0,Ranch 1 Story,1,Frame Vinyl,960,2,1,0,0,0,1,0,336,35849,100875,35849,100875,RS,No,Yes,No,No,0,No,103,480,010710003,960,126900
RS,10,111,111,115,1040,Average,Above Average,33,0.3,Ranch 1 Story,1.5,Masonry Concrete Block,1934,5,1.5,0,0,0,1,0,0,124770,182146,124770,182146,RS,No,No,No,No,0,Yes,75,386.8,010710005,1934,199000
